id,road,name,lat,lon,length,condition,constructionYear,model_type,quality_score
83,N1,LRP031c,23.5562222,90.6591389,394.99999999999955,,,link,0.0
84,N1,LRP032,23.5538056,90.6619722,241.99999999999733,,,link,0.0
85,N1,LRP032a,23.5523333,90.6636667,29.85,A,,bridge,4.0
86,N1,LRP033,23.5487497,90.6678327,224.00000000000375,,,link,0.0
87,N1,LRP033a,23.5474163,90.6694438,9.1,A,2002.0,bridge,4.0
88,N1,LRP033b,23.5469441,90.6699993,5.2,A,1992.0,bridge,4.0
89,N1,LRP033c,23.5442219,90.6731104,256.0000000000002,,,link,0.0
90,N1,LRP034,23.542583,90.6749438,1000.0,,,link,0.0
91,N1,LRP035,23.5362497,90.681916,33.99999999999892,,,link,0.0
92,N1,LRP035a,23.536083,90.6821382,9.5,A,2000.0,bridge,4.0
93,N1,LRP035b,23.5358608,90.6823604,275.0000000000057,,,link,0.0
94,N1,LRP035c,23.5341386,90.6843052,650.9999999999962,,,link,0.0
95,N1,LRP036,23.5301938,90.688833,664.0000000000015,,,link,0.0
96,N1,LRP036a,23.529916,90.6952219,25.45,A,,bridge,4.0
97,N1,LRP037,23.5301382,90.6984997,1000.0,,,link,0.0
98,N1,LRP038,23.5307493,90.7082778,78.00000000000296,,,link,0.0
99,N1,LRP038a,23.5307771,90.7090278,354.9999999999969,,,link,0.0
100,N1,LRP038b,23.5313882,90.7153611,426.00000000000193,,,link,0.0
101,N1,LRP038c,23.5314716,90.7172216,76.99999999999818,,,link,0.0
102,N1,LRP038d,23.5315271,90.7173604,17.000000000003013,,,link,0.0
103,N1,LRP038e,23.5315827,90.7176104,46.999999999997044,,,link,0.0
104,N1,LRP039,23.5317216,90.7180271,512.9999999999982,,,link,0.0
105,N1,LRP039a,23.5322346,90.7226298386,487.0000000000019,,,link,0.0
106,N1,LRP040,23.5327216,90.7269993,1000.0,,,link,0.0
107,N1,LRP041,23.528916,90.7356108,654.0000000000034,,,link,0.0
108,N1,LRP042,23.5289993,90.7419441,966.9999999999987,,,link,0.0
109,N1,LRP042a,23.5293882,90.7514167,16.999999999995907,,,link,0.0
110,N1,LRP042b,23.5293882,90.7515833,24.00000000000091,,,link,0.0
111,N1,LRP043,23.529416,90.75175,1000.0,,,link,0.0
112,N1,LRP044,23.5299993,90.7615,1000.0,,,link,0.0
113,N1,LRP045,23.5304438,90.7713049,185.00000000000227,,,link,0.0
