Road,Heavy Truck per timestep (each end),Medium Truck per timestep (each end),Small Truck per timestep (each end),Large Bus per timestep (each end),Medium Bus per timestep (each end),Micro Bus per timestep (each end),Utility per timestep (each end),Car per timestep (each end),Auto Rickshaw per timestep (each end),Motor Cycle per timestep (each end),Bi-Cycle per timestep (each end),Cycle Rickshaw per timestep (each end),Cart per timestep (each end),Motorized per timestep (each end),Non Motorized per timestep (each end)
N1,0.09458857442348009,1.2672661163522012,0.3634237421383648,0.5027417452830188,0.2213279612159329,0.3855280398322851,0.09774305555555556,0.3509237421383648,0.7167289046121592,0.17563875786163521,0.059741876310272536,0.19110980083857443,4.585953878406709e-05,4.175910639412998,0.25089753668763104
N102,0.07484217171717171,0.3448863636363636,0.213510101010101,0.15268308080808082,0.04236111111111111,0.15902777777777777,0.07013888888888889,0.09318181818181819,1.3643623737373738,0.20104166666666667,0.05400883838383838,0.20170454545454544,0.0,2.7160353535353536,0.2557133838383839
N104,0.02138310185185185,0.2656539351851852,0.14681712962962962,0.13333333333333333,0.1146412037037037,0.14991319444444445,0.024479166666666666,0.06258680555555556,1.305931712962963,0.24933449074074077,0.09681712962962963,0.33738425925925924,0.0009259259259259259,2.474074074074074,0.4351273148148148
N105,0.09088541666666666,1.1427951388888888,0.37352430555555555,0.02309027777777778,0.019921875,0.30646701388888886,0.042708333333333334,0.2821180555555556,0.6595052083333334,0.17417534722222222,0.036631944444444446,0.2322048611111111,0.0,3.1151909722222224,0.26883680555555556
N2,0.09094907407407407,0.6441550925925926,0.2829976851851852,0.41050925925925924,0.1241550925925926,0.40237268518518515,0.08347222222222223,0.29607638888888893,0.9206597222222223,0.20961805555555557,0.07659722222222222,0.2228472222222222,0.0009027777777777778,3.464965277777778,0.3003472222222222
N204,0.0,0.04074074074074074,0.04398148148148148,0.007175925925925927,0.008796296296296295,0.04722222222222222,0.009953703703703704,0.021296296296296296,0.2590277777777778,0.0875,0.02939814814814815,0.05324074074074074,0.0,0.5256944444444445,0.08263888888888889
N207,0.008611111111111111,0.1175,0.08666666666666667,0.055,0.03944444444444444,0.08972222222222222,0.045,0.10722222222222223,0.7205555555555555,0.12972222222222224,0.03916666666666667,0.041666666666666664,0.0,1.3994444444444445,0.08083333333333334
N208,0.003993055555555555,0.19710648148148147,0.14375,0.010648148148148148,0.16944444444444445,0.18628472222222223,0.030729166666666665,0.22465277777777778,0.8002314814814814,0.2685763888888889,0.06741898148148148,0.11226851851851852,0.0027199074074074074,2.035416666666667,0.1824074074074074
