bridge_id,mean_total_delay,std,ci95
798,19766.73208914086,1066.7819120746685,661.1982793297848
643,9177.60517818132,527.1674312077699,326.7417590118296
1018,8921.925084107923,475.5828707636329,294.769317203818
1000,5055.810725878306,586.8969179467426,363.762478439153
1111,4994.791321794998,432.52395921263013,268.08112732631315
1130,4911.372593251521,308.0475509695375,190.9298501853075
950,4826.307904554086,463.03958140102407,286.9949059114825
1090,4795.624146093575,396.2122058505488,245.57486942045622
1122,2093.0084544636406,183.74453119088443,113.88604032795696
1173,2077.9802375565164,140.18072908392426,86.88491604176906
