bridge_id,mean_total_delay,std,ci95
798,71060.87128409425,2267.3167820022327,1405.2975008171018
16,41118.60423650987,1943.7877750019768,1204.7721447714416
64,40599.634793057085,1822.926081650807,1129.8612911319547
666,36308.781509528286,1975.3236206014867,1224.318264378076
643,35583.07140537445,1203.077027933397,745.6748673435278
1018,32477.687079572082,970.5927872519239,601.5796420964746
62,19990.20340119952,1023.6442249385511,634.4612638387769
950,18601.87958936832,780.6290951649726,483.8389259094591
1000,18185.92685460041,471.5968636134366,292.2987643764079
606,18020.737995330026,799.016186808373,495.23536338078026
