scenario,replication,seed,average_driving_time,scenario_mean,scenario_std,standard_error,ci_95_lower,ci_95_upper
0,1,1608637542,438.0,438.0,0.0,0.0,438.0,438.0
0,2,1273642419,438.0,438.0,0.0,0.0,438.0,438.0
0,3,1935803228,438.0,438.0,0.0,0.0,438.0,438.0
0,4,787846414,438.0,438.0,0.0,0.0,438.0,438.0
0,5,996406378,438.0,438.0,0.0,0.0,438.0,438.0
0,6,1201263687,438.0,438.0,0.0,0.0,438.0,438.0
0,7,423734972,438.0,438.0,0.0,0.0,438.0,438.0
0,8,415968276,438.0,438.0,0.0,0.0,438.0,438.0
0,9,670094950,438.0,438.0,0.0,0.0,438.0,438.0
0,10,1914837113,438.0,438.0,0.0,0.0,438.0,438.0
