bridge_id,mean_total_delay,std,ci95
798,18588.844112604296,1495.4397186279282,926.8831404117345
16,10259.586177525798,1452.8138443336532,900.4633498066519
64,9995.185643948103,1030.7701131827937,638.8779351306873
643,9738.528528079645,725.3938959253696,449.60379473383125
666,9554.81138654481,780.6072653750103,483.82539566546285
1018,8666.281700755633,787.2790064776676,487.9605836427615
1000,5142.463998624726,546.6709719925476,338.83017883013514
617,5067.691905940649,763.1348040739338,472.99585195351483
1130,5057.454529186654,307.5612638179424,190.62844628610796
950,5035.208145600094,457.87179335783924,283.7918776979186
