bridge_id,mean_total_delay,std,ci95
798,9534.690742852006,961.7563232585367,596.1027449709651
643,4853.6438561383775,704.2024434400944,436.469196404813
1018,4678.265963889136,588.7501716934245,364.9111370118171
1000,2646.918089080797,293.76955327652877,182.08025553054622
1090,2584.0975436525196,282.9896823712424,175.39882232166212
950,2525.9495093236824,368.36555294701907,228.3153351365464
1111,2446.6838286204193,240.1755425087732,148.86234350848562
1130,2389.890791512678,238.8575987670213,148.04547351431307
1173,1041.9083882932769,136.899377390683,84.8511131914493
1122,1017.764066329788,121.6025865381121,75.37006399432015
