bridge_id,mean_total_delay,std,ci95
798,131467.45876525505,2610.725503637431,1618.1444316489597
16,81282.8772455594,1080.150675059043,669.4843244735811
64,79709.63428610758,2631.7627900215157,1631.1834768384988
666,69219.88028456995,2833.3477519666253,1756.1271307083418
643,66608.35987951347,1063.7992469731414,659.3496043469934
1018,56836.645294857015,877.0225549326258,543.5842112537385
62,40324.5872910879,1192.9150414120443,739.3764028434842
617,33856.457252296,1199.8021054266023,743.6450493442521
573,33729.64706320968,1212.5107014757255,751.5219187823883
606,33358.17900196569,1091.3980272636238,676.4555055936491
