bridge_id,mean_total_delay,std,ci95
798,38514.39518189915,1878.0233809663464,1164.0109510491382
16,20164.438147790275,1326.3859225029973,822.102512012639
64,20080.770495861718,1165.4651375443336,722.3627761596566
666,19419.032688772983,1178.4091373878969,730.3855503812072
643,18707.639823631023,1061.4643416161089,657.9024150133597
1018,17844.906786730608,909.8096405003366,563.9058574273676
950,10414.775379389786,444.91458390796294,275.7609160775512
1090,9875.10543776557,720.5291525852936,446.5885955732233
1000,9839.09320288769,339.88918742201037,210.66550092621168
1111,9707.755728280083,352.9835018257908,218.78144107741372
