scenario,replication,seed,average_driving_time,scenario_mean,scenario_std,standard_error,ci_95_lower,ci_95_upper
2,1,1608637542,115.3769088180775,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,2,1273642419,114.22193787504412,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,3,1935803228,112.74581054859763,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,4,787846414,114.38636564070906,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,5,996406378,115.20511238431027,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,6,1201263687,114.39364799294222,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,7,423734972,115.04910084626235,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,8,415968276,114.74594642227706,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,9,670094950,115.59710962284103,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
2,10,1914837113,114.48174281178338,114.62036829628445,0.807325778070719,0.25529882724710895,114.11998259488011,115.1207539976888
