scenario,replication,seed,average_driving_time,average_distance_km,time_per_km,shortest_route_km,longest_route_km,scenario_mean,scenario_std,standard_error,ci_95_lower,ci_95_upper
3,1,1608637542,293.9450052052686,115.13711373059427,2.552999599182774,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,2,1273642419,288.35547299746287,113.98287853751482,2.5298139220317846,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,3,1935803228,290.83876081344266,114.90674155894843,2.531085268519595,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,4,787846414,288.84373444358965,114.1654254559451,2.5300456183649978,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,5,996406378,289.42913421481614,114.63339871671913,2.5248238075017775,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,6,1201263687,290.530058352558,114.59871726376356,2.5351946800928498,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,7,423734972,289.20446719826026,114.39117485502146,2.528206109997523,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,8,415968276,289.63570102766084,114.74670217302857,2.524130938342037,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,9,670094950,290.1109852774632,114.43817917191446,2.535089140501307,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
3,10,1914837113,285.8339525190286,113.51704685438649,2.517982632913988,3.4356,365.9538100000004,289.6727272049551,2.0541999030235023,0.6495950462851272,288.39952091423623,290.94593349567396
