id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34306,0
1568,,N2,Intersection,-,0.0,32973,0
186,,N1,Intersection,-,0.0,32220,0
1359,,N2,Intersection,-,0.0,30061,0
184,,N1,Intersection,-,0.0,29271,0
18,,N1,Intersection,-,0.0,29066,0
336,,N1,Intersection,-,0.0,24698,0
22,,N1,Bridge,A,6.3,24410,0
20,,N1,Bridge,B,8.0,24410,0
21,,N1,Bridge,A,6.3,24410,0
23,,N1,Link,-,382.0,24410,1
19,,N1,Link,-,112.0,24410,0
24,,N1,Bridge,A,8.3,24409,0
25,,N1,Link,-,184.0,24409,0
26,,N1,Link,-,248.0,24409,1
28,,N1,Bridge,A,6.1,24408,0
27,,N1,Bridge,A,9.3,24408,0
1360,,N2,Bridge,C,19.0,23741,34
1363,,N2,Link,-,1000.0,23723,28
1362,,N2,Link,-,20.0,23713,0
1361,,N2,Link,-,214.0,23713,0
1372,,N2,Link,-,914.0,23712,31
1368,,N2,Link,-,467.0,23706,4
1367,,N2,Bridge,B,3.5,23706,0
1366,,N2,Link,-,132.0,23706,0
1365,,N2,Bridge,B,4.9,23706,0
1364,,N2,Link,-,162.0,23706,1
1373,,N2,Bridge,C,72.15,23702,41
1369,,N2,Bridge,A,3.4,23702,0
1370,,N2,Link,-,22.0,23702,0
1371,,N2,Link,-,8.0,23702,0
1374,,N2,Link,-,754.0,23678,28
1384,,N2,Link,-,926.0,23668,41
1381,,N2,Link,-,288.0,23656,1
1380,,N2,Bridge,A,8.3,23656,0
1379,,N2,Link,-,675.0,23656,1
1376,,N2,Link,-,449.0,23656,1
1375,,N2,Bridge,A,4.5,23656,0
1382,,N2,Bridge,A,4.0,23655,0
1378,,N2,Link,-,273.0,23655,0
1377,,N2,Bridge,B,8.3,23655,0
1383,,N2,Bridge,A,8.0,23655,0
1386,,N2,Link,-,1000.0,23645,26
1385,,N2,Bridge,B,4.0,23640,0
1389,,N2,Bridge,A,4.0,23624,0
1390,,N2,Link,-,469.0,23624,3
1388,,N2,Bridge,A,4.0,23624,0
1387,,N2,Link,-,322.0,23624,0
1394,,N2,Link,-,1000.0,23622,26
1393,,N2,Link,-,990.0,23622,4
1392,,N2,Bridge,A,2.0,23621,0
1391,,N2,Bridge,A,4.0,23621,0
1401,,N2,Link,-,909.0,23609,33
1395,,N2,Link,-,130.0,23599,0
1396,,N2,Link,-,870.0,23599,2
1397,,N2,Link,-,187.0,23597,0
1398,,N2,Bridge,A,2.5,23597,0
1400,,N2,Link,-,90.0,23597,0
1399,,N2,Bridge,A,2.5,23597,0
1407,,N2,Link,-,1020.0,23595,27
1404,,N2,Link,-,483.0,23590,2
1402,,N2,Link,-,251.0,23590,2
1403,,N2,Link,-,34.0,23590,0
1406,,N2,Link,-,10.0,23588,0
1405,,N2,Bridge,B,30.3,23588,0
1412,,N2,Link,-,322.0,23577,5
1414,,N2,Link,-,474.0,23575,7
1413,,N2,Link,-,425.0,23575,0
1408,,N2,Link,-,665.0,23575,1
1411,,N2,Link,-,408.0,23574,0
1410,,N2,Link,-,280.0,23574,0
1409,,N2,Bridge,A,3.6,23574,0
1420,,N2,Link,-,808.0,23572,28
1415,,N2,Bridge,A,12.7,23568,0
1416,,N2,Link,-,245.0,23568,0
1417,,N2,Bridge,A,3.0,23568,0
1418,,N2,Link,-,164.0,23568,2
1422,,N2,Bridge,C,69.5,23568,62
1419,,N2,Bridge,A,27.4,23566,0
1421,,N2,Link,-,263.0,23550,0
1429,,N2,Bridge,A,3.4,23524,0
1424,,N2,Bridge,A,3.0,23524,0
1431,,N2,Link,-,230.0,23524,4
1430,,N2,Bridge,A,3.0,23524,0
1423,,N2,Link,-,349.0,23524,0
1428,,N2,Link,-,253.0,23524,0
1426,,N2,Bridge,A,12.6,23524,0
1427,,N2,Link,-,85.0,23524,0
1425,,N2,Link,-,21.0,23524,0
1436,,N2,Bridge,B,14.1,23520,0
1439,,N2,Bridge,A,2.0,23520,0
1438,,N2,Link,-,183.0,23520,0
1440,,N2,Link,-,159.0,23520,5
1435,,N2,Bridge,A,1.8,23520,0
1434,,N2,Link,-,40.0,23520,0
1433,,N2,Bridge,A,3.0,23520,0
1432,,N2,Bridge,B,3.5,23520,0
1437,,N2,Link,-,170.0,23520,0
1444,,N2,Link,-,452.0,23519,4
1445,,N2,Bridge,A,4.0,23519,0
