id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34293,0
1568,,N2,Intersection,-,0.0,33499,0
186,,N1,Intersection,-,0.0,33086,0
1359,,N2,Intersection,-,0.0,30206,0
184,,N1,Intersection,-,0.0,29876,0
18,,N1,Intersection,-,0.0,29171,0
336,,N1,Intersection,-,0.0,25653,0
23,,N1,Link,-,382.0,24342,3
26,,N1,Link,-,248.0,24341,1
25,,N1,Link,-,184.0,24341,0
24,,N1,Bridge,A,8.3,24341,0
22,,N1,Bridge,A,6.3,24340,0
20,,N1,Bridge,B,8.0,24340,0
28,,N1,Bridge,A,6.1,24340,0
27,,N1,Bridge,A,9.3,24340,0
21,,N1,Bridge,A,6.3,24340,0
19,,N1,Link,-,112.0,24340,0
1363,,N2,Link,-,1000.0,23829,37
1362,,N2,Link,-,20.0,23818,0
1360,,N2,Bridge,C,19.0,23818,0
1361,,N2,Link,-,214.0,23818,0
1372,,N2,Link,-,914.0,23811,26
1365,,N2,Bridge,B,4.9,23803,0
1366,,N2,Link,-,132.0,23803,0
1367,,N2,Bridge,B,3.5,23803,0
1368,,N2,Link,-,467.0,23803,1
1364,,N2,Link,-,162.0,23803,0
1369,,N2,Bridge,A,3.4,23802,0
1371,,N2,Link,-,8.0,23802,0
1370,,N2,Link,-,22.0,23802,0
1374,,N2,Link,-,754.0,23795,5
1386,,N2,Link,-,1000.0,23795,25
1373,,N2,Bridge,C,72.15,23794,0
1375,,N2,Bridge,A,4.5,23791,0
1376,,N2,Link,-,449.0,23791,0
1377,,N2,Bridge,B,8.3,23791,0
1378,,N2,Link,-,273.0,23791,2
1384,,N2,Link,-,926.0,23790,4
1380,,N2,Bridge,A,8.3,23789,0
1381,,N2,Link,-,288.0,23789,1
1379,,N2,Link,-,675.0,23789,0
1382,,N2,Bridge,A,4.0,23788,0
1385,,N2,Bridge,B,4.0,23788,0
1383,,N2,Bridge,A,8.0,23788,0
1393,,N2,Link,-,990.0,23780,29
1390,,N2,Link,-,469.0,23778,6
1387,,N2,Link,-,322.0,23777,0
1388,,N2,Bridge,A,4.0,23777,0
1389,,N2,Bridge,A,4.0,23777,0
335,,N1,Link,-,614.0,23775,2
334,,N1,Link,-,125.0,23773,0
333,,N1,Link,-,724.0,23773,2
1391,,N2,Bridge,A,4.0,23773,0
1392,,N2,Bridge,A,2.0,23773,0
316,,N1,Link,-,766.0,23772,5
332,,N1,Link,-,151.0,23771,0
331,,N1,Link,-,761.0,23771,1
328,,N1,Link,-,735.0,23771,4
314,,N1,Link,-,17.0,23770,0
325,,N1,Link,-,196.0,23770,6
315,,N1,Link,-,193.0,23770,0
329,,N1,Bridge,A,3.4,23770,0
330,,N1,Link,-,240.0,23770,0
313,,N1,Link,-,527.0,23770,4
318,,N1,Link,-,275.0,23769,1
317,,N1,Bridge,B,4.0,23769,0
310,,N1,Link,-,688.0,23769,1
311,,N1,Bridge,B,6.1,23769,0
312,,N1,Link,-,345.0,23769,3
301,,N1,Link,-,248.0,23768,1
309,,N1,Bridge,B,14.2,23768,0
307,,N1,Link,-,368.0,23768,0
306,,N1,Link,-,205.0,23768,3
308,,N1,Bridge,A,3.5,23768,0
327,,N1,Link,-,468.0,23768,0
319,,N1,Link,-,611.0,23768,3
326,,N1,Link,-,336.0,23768,0
302,,N1,Bridge,A,6.1,23768,0
303,,N1,Link,-,1000.0,23768,2
300,,N1,Link,-,255.0,23767,4
284,,N1,Link,-,614.0,23767,6
279,,N1,Link,-,865.0,23767,27
288,,N1,Link,-,440.0,23766,4
286,,N1,Link,-,546.0,23766,0
285,,N1,Bridge,A,9.5,23766,0
287,,N1,Bridge,B,6.3,23766,0
304,,N1,Link,-,75.0,23766,1
1394,,N2,Link,-,1000.0,23766,36
324,,N1,Bridge,A,1.6,23766,0
323,,N1,Link,-,500.0,23766,1
321,,N1,Link,-,230.0,23765,0
320,,N1,Link,-,18.0,23765,0
322,,N1,Bridge,A,10.8,23765,0
305,,N1,Bridge,A,3.1,23765,0
293,,N1,Link,-,99.0,23764,0
295,,N1,Bridge,B,3.0,23764,0
298,,N1,Link,-,70.0,23764,1
297,,N1,Bridge,B,4.5,23764,0
296,,N1,Link,-,102.0,23764,0
292,,N1,Bridge,B,6.1,23764,0
