id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34655,0
1568,,N2,Intersection,-,0.0,33273,0
186,,N1,Intersection,-,0.0,32598,0
1359,,N2,Intersection,-,0.0,30225,0
184,,N1,Intersection,-,0.0,29530,0
18,,N1,Intersection,-,0.0,29367,0
336,,N1,Intersection,-,0.0,24757,0
23,,N1,Link,-,382.0,24602,5
28,,N1,Bridge,A,6.1,24600,0
26,,N1,Link,-,248.0,24600,0
25,,N1,Link,-,184.0,24600,0
24,,N1,Bridge,A,8.3,24600,0
27,,N1,Bridge,A,9.3,24600,0
19,,N1,Link,-,112.0,24599,0
22,,N1,Bridge,A,6.3,24599,0
21,,N1,Bridge,A,6.3,24599,0
20,,N1,Bridge,B,8.0,24599,0
1360,,N2,Bridge,C,19.0,23958,33
1363,,N2,Link,-,1000.0,23950,35
1361,,N2,Link,-,214.0,23938,0
1362,,N2,Link,-,20.0,23938,0
1372,,N2,Link,-,914.0,23937,33
1368,,N2,Link,-,467.0,23930,1
1367,,N2,Bridge,B,3.5,23930,0
1366,,N2,Link,-,132.0,23930,0
1365,,N2,Bridge,B,4.9,23930,0
1364,,N2,Link,-,162.0,23930,3
1371,,N2,Link,-,8.0,23929,0
1370,,N2,Link,-,22.0,23929,0
1369,,N2,Bridge,A,3.4,23929,0
1373,,N2,Bridge,C,72.15,23925,61
1374,,N2,Link,-,754.0,23883,25
1384,,N2,Link,-,926.0,23867,33
1375,,N2,Bridge,A,4.5,23864,0
1376,,N2,Link,-,449.0,23864,4
1379,,N2,Link,-,675.0,23861,2
1377,,N2,Bridge,B,8.3,23860,0
1378,,N2,Link,-,273.0,23860,0
1380,,N2,Bridge,A,8.3,23860,0
1381,,N2,Link,-,288.0,23860,2
1383,,N2,Bridge,A,8.0,23858,0
1382,,N2,Bridge,A,4.0,23858,0
1386,,N2,Link,-,1000.0,23852,31
1385,,N2,Bridge,B,4.0,23843,0
1393,,N2,Link,-,990.0,23840,37
1390,,N2,Link,-,469.0,23830,1
1387,,N2,Link,-,322.0,23830,0
1388,,N2,Bridge,A,4.0,23830,0
1389,,N2,Bridge,A,4.0,23830,0
1391,,N2,Bridge,A,4.0,23829,0
1392,,N2,Bridge,A,2.0,23829,0
1394,,N2,Link,-,1000.0,23825,29
1396,,N2,Link,-,870.0,23815,32
1395,,N2,Link,-,130.0,23807,0
1401,,N2,Link,-,909.0,23801,30
1397,,N2,Link,-,187.0,23791,0
1398,,N2,Bridge,A,2.5,23791,0
1399,,N2,Bridge,A,2.5,23791,0
1400,,N2,Link,-,90.0,23791,0
1407,,N2,Link,-,1020.0,23789,31
1402,,N2,Link,-,251.0,23782,1
1403,,N2,Link,-,34.0,23782,0
1404,,N2,Link,-,483.0,23782,4
1422,,N2,Bridge,C,69.5,23782,58
1405,,N2,Bridge,B,30.3,23778,0
1406,,N2,Link,-,10.0,23778,0
1408,,N2,Link,-,665.0,23769,4
1420,,N2,Link,-,808.0,23768,3
1414,,N2,Link,-,474.0,23767,2
1419,,N2,Bridge,A,27.4,23767,0
1418,,N2,Link,-,164.0,23767,0
1417,,N2,Bridge,A,3.0,23767,0
1416,,N2,Link,-,245.0,23767,0
1415,,N2,Bridge,A,12.7,23767,0
1412,,N2,Link,-,322.0,23766,4
1411,,N2,Link,-,408.0,23766,1
1421,,N2,Link,-,263.0,23766,0
1413,,N2,Link,-,425.0,23765,3
1409,,N2,Bridge,A,3.6,23765,0
1410,,N2,Link,-,280.0,23765,0
1431,,N2,Link,-,230.0,23743,2
1432,,N2,Bridge,B,3.5,23742,0
1440,,N2,Link,-,159.0,23742,6
1439,,N2,Bridge,A,2.0,23742,0
1438,,N2,Link,-,183.0,23742,0
1437,,N2,Link,-,170.0,23742,0
1436,,N2,Bridge,B,14.1,23742,0
1435,,N2,Bridge,A,1.8,23742,0
1434,,N2,Link,-,40.0,23742,0
1433,,N2,Bridge,A,3.0,23742,0
1424,,N2,Bridge,A,3.0,23742,0
1430,,N2,Bridge,A,3.0,23742,0
1429,,N2,Bridge,A,3.4,23742,0
1428,,N2,Link,-,253.0,23742,0
1427,,N2,Link,-,85.0,23742,0
1426,,N2,Bridge,A,12.6,23742,0
1425,,N2,Link,-,21.0,23742,0
1423,,N2,Link,-,349.0,23742,2
1454,,N2,Link,-,608.0,23738,25
1441,,N2,Link,-,30.0,23736,0
