id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34716,0
1568,,N2,Intersection,-,0.0,33903,0
186,,N1,Intersection,-,0.0,33304,0
1359,,N2,Intersection,-,0.0,30505,0
184,,N1,Intersection,-,0.0,30173,0
18,,N1,Intersection,-,0.0,29333,0
336,,N1,Intersection,-,0.0,25512,0
28,,N1,Bridge,A,6.1,24527,0
27,,N1,Bridge,A,9.3,24527,0
26,,N1,Link,-,248.0,24527,0
25,,N1,Link,-,184.0,24527,1
23,,N1,Link,-,382.0,24527,4
24,,N1,Bridge,A,8.3,24526,0
22,,N1,Bridge,A,6.3,24524,0
21,,N1,Bridge,A,6.3,24524,0
20,,N1,Bridge,B,8.0,24524,0
19,,N1,Link,-,112.0,24524,0
1363,,N2,Link,-,1000.0,24180,25
1360,,N2,Bridge,C,19.0,24174,0
1361,,N2,Link,-,214.0,24174,0
1362,,N2,Link,-,20.0,24174,0
1372,,N2,Link,-,914.0,24164,3
1374,,N2,Link,-,754.0,24164,7
1384,,N2,Link,-,926.0,24164,37
1368,,N2,Link,-,467.0,24164,4
1369,,N2,Bridge,A,3.4,24163,0
1370,,N2,Link,-,22.0,24163,0
1371,,N2,Link,-,8.0,24163,0
1373,,N2,Bridge,C,72.15,24162,0
1366,,N2,Link,-,132.0,24161,0
1367,,N2,Bridge,B,3.5,24161,0
1364,,N2,Link,-,162.0,24161,0
1365,,N2,Bridge,B,4.9,24161,0
1377,,N2,Bridge,B,8.3,24159,2
1376,,N2,Link,-,449.0,24159,0
1375,,N2,Bridge,A,4.5,24159,0
1379,,N2,Link,-,675.0,24158,3
1378,,N2,Link,-,273.0,24157,0
1380,,N2,Bridge,A,8.3,24156,0
1381,,N2,Link,-,288.0,24156,0
1382,,N2,Bridge,A,4.0,24156,0
1383,,N2,Bridge,A,8.0,24156,0
1386,,N2,Link,-,1000.0,24144,29
1385,,N2,Bridge,B,4.0,24135,0
1393,,N2,Link,-,990.0,24132,30
1387,,N2,Link,-,322.0,24124,0
1388,,N2,Bridge,A,4.0,24124,0
1389,,N2,Bridge,A,4.0,24124,0
1390,,N2,Link,-,469.0,24124,0
1391,,N2,Bridge,A,4.0,24124,0
1392,,N2,Bridge,A,2.0,24124,0
1394,,N2,Link,-,1000.0,24117,32
1396,,N2,Link,-,870.0,24099,38
1395,,N2,Link,-,130.0,24092,0
1401,,N2,Link,-,909.0,24076,33
1397,,N2,Link,-,187.0,24068,0
1398,,N2,Bridge,A,2.5,24068,0
1400,,N2,Link,-,90.0,24068,0
1399,,N2,Bridge,A,2.5,24068,0
1407,,N2,Link,-,1020.0,24059,39
1403,,N2,Link,-,34.0,24051,0
1404,,N2,Link,-,483.0,24051,3
1402,,N2,Link,-,251.0,24051,0
1405,,N2,Bridge,B,30.3,24048,0
1406,,N2,Link,-,10.0,24048,0
1408,,N2,Link,-,665.0,24032,4
1411,,N2,Link,-,408.0,24030,1
1412,,N2,Link,-,322.0,24030,3
1409,,N2,Bridge,A,3.6,24029,0
1410,,N2,Link,-,280.0,24029,0
1413,,N2,Link,-,425.0,24027,0
1414,,N2,Link,-,474.0,24027,3
1418,,N2,Link,-,164.0,24025,5
1417,,N2,Bridge,A,3.0,24024,0
1415,,N2,Bridge,A,12.7,24024,0
1416,,N2,Link,-,245.0,24024,0
1420,,N2,Link,-,808.0,24021,7
1419,,N2,Bridge,A,27.4,24021,0
1458,,N2,Link,-,969.0,24017,36
1438,,N2,Link,-,183.0,24017,1
1437,,N2,Link,-,170.0,24017,3
1447,,N2,Link,-,670.0,24016,2
1446,,N2,Link,-,330.0,24016,0
1445,,N2,Bridge,A,4.0,24016,0
1444,,N2,Link,-,452.0,24016,0
1443,,N2,Bridge,A,2.5,24016,0
1442,,N2,Link,-,160.0,24016,0
1441,,N2,Link,-,30.0,24016,0
1440,,N2,Link,-,159.0,24016,0
1439,,N2,Bridge,A,2.0,24016,0
1448,,N2,Link,-,558.0,24015,4
1423,,N2,Link,-,349.0,24015,1
1424,,N2,Bridge,A,3.0,24015,0
1425,,N2,Link,-,21.0,24015,0
1426,,N2,Bridge,A,12.6,24015,0
1427,,N2,Link,-,85.0,24015,1
1432,,N2,Bridge,B,3.5,24014,0
1429,,N2,Bridge,A,3.4,24014,0
1422,,N2,Bridge,C,69.5,24014,0
1428,,N2,Link,-,253.0,24014,0
