id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,33125,0
1568,,N2,Intersection,-,0.0,29449,0
1359,,N2,Intersection,-,0.0,28904,0
18,,N1,Intersection,-,0.0,28478,0
186,,N1,Intersection,-,0.0,28417,0
184,,N1,Intersection,-,0.0,25859,0
20,,N1,Bridge,B,8.0,23636,32
19,,N1,Link,-,112.0,23626,0
24,,N1,Bridge,A,8.3,23616,3
22,,N1,Bridge,A,6.3,23616,4
23,,N1,Link,-,382.0,23615,1
21,,N1,Bridge,A,6.3,23615,2
26,,N1,Link,-,248.0,23614,4
25,,N1,Link,-,184.0,23614,0
27,,N1,Bridge,A,9.3,23610,3
28,,N1,Bridge,A,6.1,23607,3
1360,,N2,Bridge,C,19.0,22574,62
1365,,N2,Bridge,B,4.9,22545,53
1364,,N2,Link,-,162.0,22529,0
1363,,N2,Link,-,1000.0,22529,0
1362,,N2,Link,-,20.0,22529,0
1361,,N2,Link,-,214.0,22529,0
1367,,N2,Bridge,B,3.5,22518,36
1366,,N2,Link,-,132.0,22508,0
1373,,N2,Bridge,C,72.15,22506,83
1372,,N2,Link,-,914.0,22502,36
1369,,N2,Bridge,A,3.4,22493,5
1368,,N2,Link,-,467.0,22492,0
1371,,N2,Link,-,8.0,22489,0
1370,,N2,Link,-,22.0,22489,0
1377,,N2,Bridge,B,8.3,22454,40
1374,,N2,Link,-,754.0,22451,3
1375,,N2,Bridge,A,4.5,22450,4
1376,,N2,Link,-,449.0,22447,0
1379,,N2,Link,-,675.0,22431,28
1378,,N2,Link,-,273.0,22424,3
1380,,N2,Bridge,A,8.3,22410,4
1384,,N2,Link,-,926.0,22408,28
1381,,N2,Link,-,288.0,22406,5
1385,,N2,Bridge,B,4.0,22404,36
1382,,N2,Bridge,A,4.0,22402,2
1383,,N2,Bridge,A,8.0,22401,4
1386,,N2,Link,-,1000.0,22389,34
1388,,N2,Bridge,A,4.0,22369,28
1387,,N2,Link,-,322.0,22363,0
1392,,N2,Bridge,A,2.0,22354,28
1391,,N2,Bridge,A,4.0,22349,3
1390,,N2,Link,-,469.0,22347,0
1389,,N2,Bridge,A,4.0,22347,0
1393,,N2,Link,-,990.0,22337,26
1394,,N2,Link,-,1000.0,22324,26
1396,,N2,Link,-,870.0,22312,31
1395,,N2,Link,-,130.0,22306,0
1398,,N2,Bridge,A,2.5,22297,34
1397,,N2,Link,-,187.0,22287,0
1401,,N2,Link,-,909.0,22284,31
1399,,N2,Bridge,A,2.5,22277,6
1400,,N2,Link,-,90.0,22275,0
1405,,N2,Bridge,B,30.3,22272,63
1403,,N2,Link,-,34.0,22262,0
1404,,N2,Link,-,483.0,22262,4
1402,,N2,Link,-,251.0,22262,0
1407,,N2,Link,-,1020.0,22228,35
1406,,N2,Link,-,10.0,22223,0
1408,,N2,Link,-,665.0,22207,25
1415,,N2,Bridge,A,12.7,22192,27
1409,,N2,Bridge,A,3.6,22191,3
1410,,N2,Link,-,280.0,22188,2
1413,,N2,Link,-,425.0,22187,1
1411,,N2,Link,-,408.0,22187,1
1412,,N2,Link,-,322.0,22187,1
1414,,N2,Link,-,474.0,22187,3
1419,,N2,Bridge,A,27.4,22184,35
1417,,N2,Bridge,A,3.0,22174,2
1418,,N2,Link,-,164.0,22173,0
1416,,N2,Link,-,245.0,22173,0
1420,,N2,Link,-,808.0,22165,30
1422,,N2,Bridge,C,69.5,22164,99
1421,,N2,Link,-,263.0,22140,0
1426,,N2,Bridge,A,12.6,22095,31
1424,,N2,Bridge,A,3.0,22091,4
1425,,N2,Link,-,21.0,22089,0
1423,,N2,Link,-,349.0,22089,0
1429,,N2,Bridge,A,3.4,22080,25
1432,,N2,Bridge,B,3.5,22071,29
1427,,N2,Link,-,85.0,22070,0
1428,,N2,Link,-,253.0,22070,0
1430,,N2,Bridge,A,3.0,22066,2
1431,,N2,Link,-,230.0,22065,0
1435,,N2,Bridge,A,1.8,22053,30
1433,,N2,Bridge,A,3.0,22048,0
1434,,N2,Link,-,40.0,22048,0
1436,,N2,Bridge,B,14.1,22043,58
1443,,N2,Bridge,A,2.5,22004,28
1439,,N2,Bridge,A,2.0,22001,5
1437,,N2,Link,-,170.0,22000,0
1438,,N2,Link,-,183.0,22000,0
1440,,N2,Link,-,159.0,21997,0
1441,,N2,Link,-,30.0,21997,0
1442,,N2,Link,-,160.0,21997,0
