id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34493,0
1568,,N2,Intersection,-,0.0,33861,0
186,,N1,Intersection,-,0.0,33056,0
1359,,N2,Intersection,-,0.0,30500,0
184,,N1,Intersection,-,0.0,29981,0
18,,N1,Intersection,-,0.0,29246,0
336,,N1,Intersection,-,0.0,25382,0
26,,N1,Link,-,248.0,24396,1
25,,N1,Link,-,184.0,24396,0
24,,N1,Bridge,A,8.3,24396,0
23,,N1,Link,-,382.0,24396,1
20,,N1,Bridge,B,8.0,24395,0
28,,N1,Bridge,A,6.1,24395,0
27,,N1,Bridge,A,9.3,24395,0
22,,N1,Bridge,A,6.3,24395,0
21,,N1,Bridge,A,6.3,24395,0
19,,N1,Link,-,112.0,24395,0
1363,,N2,Link,-,1000.0,24201,33
1362,,N2,Link,-,20.0,24192,0
1361,,N2,Link,-,214.0,24192,0
1360,,N2,Bridge,C,19.0,24192,0
1372,,N2,Link,-,914.0,24189,36
1365,,N2,Bridge,B,4.9,24179,0
1366,,N2,Link,-,132.0,24179,0
1371,,N2,Link,-,8.0,24179,0
1370,,N2,Link,-,22.0,24179,0
1369,,N2,Bridge,A,3.4,24179,0
1364,,N2,Link,-,162.0,24179,2
1368,,N2,Link,-,467.0,24179,0
1367,,N2,Bridge,B,3.5,24179,0
1384,,N2,Link,-,926.0,24171,35
1373,,N2,Bridge,C,72.15,24163,0
1374,,N2,Link,-,754.0,24163,2
1376,,N2,Link,-,449.0,24163,2
1377,,N2,Bridge,B,8.3,24163,0
1378,,N2,Link,-,273.0,24163,1
1380,,N2,Bridge,A,8.3,24162,0
1381,,N2,Link,-,288.0,24162,1
1379,,N2,Link,-,675.0,24162,0
1375,,N2,Bridge,A,4.5,24161,0
1383,,N2,Bridge,A,8.0,24161,0
1382,,N2,Bridge,A,4.0,24161,0
1386,,N2,Link,-,1000.0,24154,25
1385,,N2,Bridge,B,4.0,24146,0
1393,,N2,Link,-,990.0,24143,30
1388,,N2,Bridge,A,4.0,24138,0
1389,,N2,Bridge,A,4.0,24138,0
1390,,N2,Link,-,469.0,24138,2
1387,,N2,Link,-,322.0,24138,1
1391,,N2,Bridge,A,4.0,24136,0
1392,,N2,Bridge,A,2.0,24136,0
1394,,N2,Link,-,1000.0,24130,36
1396,,N2,Link,-,870.0,24111,29
1395,,N2,Link,-,130.0,24104,0
1401,,N2,Link,-,909.0,24098,36
1399,,N2,Bridge,A,2.5,24089,0
1400,,N2,Link,-,90.0,24089,0
1398,,N2,Bridge,A,2.5,24089,0
1397,,N2,Link,-,187.0,24089,0
1407,,N2,Link,-,1020.0,24080,35
1403,,N2,Link,-,34.0,24074,0
1402,,N2,Link,-,251.0,24074,3
1404,,N2,Link,-,483.0,24074,1
1405,,N2,Bridge,B,30.3,24073,0
1406,,N2,Link,-,10.0,24073,0
1414,,N2,Link,-,474.0,24056,4
1412,,N2,Link,-,322.0,24056,3
1413,,N2,Link,-,425.0,24056,0
1409,,N2,Bridge,A,3.6,24053,0
1410,,N2,Link,-,280.0,24053,0
1411,,N2,Link,-,408.0,24053,0
1408,,N2,Link,-,665.0,24053,1
1415,,N2,Bridge,A,12.7,24052,0
1416,,N2,Link,-,245.0,24052,0
1417,,N2,Bridge,A,3.0,24052,0
1418,,N2,Link,-,164.0,24052,7
1420,,N2,Link,-,808.0,24052,32
1419,,N2,Bridge,A,27.4,24045,0
1444,,N2,Link,-,452.0,24030,33
1424,,N2,Bridge,A,3.0,24027,0
1421,,N2,Link,-,263.0,24027,0
1422,,N2,Bridge,C,69.5,24027,0
1423,,N2,Link,-,349.0,24027,0
1425,,N2,Link,-,21.0,24027,0
1426,,N2,Bridge,A,12.6,24027,0
1427,,N2,Link,-,85.0,24027,4
1441,,N2,Link,-,30.0,24025,0
1440,,N2,Link,-,159.0,24025,2
1442,,N2,Link,-,160.0,24025,0
1443,,N2,Bridge,A,2.5,24025,0
1435,,N2,Bridge,A,1.8,24023,0
1439,,N2,Bridge,A,2.0,24023,0
1438,,N2,Link,-,183.0,24023,0
1437,,N2,Link,-,170.0,24023,0
1436,,N2,Bridge,B,14.1,24023,0
1434,,N2,Link,-,40.0,24023,0
1433,,N2,Bridge,A,3.0,24023,0
1432,,N2,Bridge,B,3.5,24023,0
1431,,N2,Link,-,230.0,24023,0
1430,,N2,Bridge,A,3.0,24023,0
