id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,33902,0
1568,,N2,Intersection,-,0.0,31851,0
186,,N1,Intersection,-,0.0,30906,0
1359,,N2,Intersection,-,0.0,29727,0
18,,N1,Intersection,-,0.0,28741,0
184,,N1,Intersection,-,0.0,28149,0
20,,N1,Bridge,B,8.0,24102,4
23,,N1,Link,-,382.0,24101,3
21,,N1,Bridge,A,6.3,24101,0
22,,N1,Bridge,A,6.3,24101,0
19,,N1,Link,-,112.0,24099,0
26,,N1,Link,-,248.0,24098,4
25,,N1,Link,-,184.0,24098,0
24,,N1,Bridge,A,8.3,24098,0
28,,N1,Bridge,A,6.1,24094,0
27,,N1,Bridge,A,9.3,24094,0
1360,,N2,Bridge,C,19.0,23361,58
1363,,N2,Link,-,1000.0,23331,27
1361,,N2,Link,-,214.0,23323,0
1362,,N2,Link,-,20.0,23323,0
1365,,N2,Bridge,B,4.9,23317,25
1364,,N2,Link,-,162.0,23312,0
1367,,N2,Bridge,B,3.5,23306,38
1366,,N2,Link,-,132.0,23297,0
1372,,N2,Link,-,914.0,23289,34
1373,,N2,Bridge,C,72.15,23282,59
1371,,N2,Link,-,8.0,23277,0
1370,,N2,Link,-,22.0,23277,0
1369,,N2,Bridge,A,3.4,23277,0
1368,,N2,Link,-,467.0,23277,0
1384,,N2,Link,-,926.0,23241,37
1374,,N2,Link,-,754.0,23238,5
1379,,N2,Link,-,675.0,23234,5
1376,,N2,Link,-,449.0,23233,0
1377,,N2,Bridge,B,8.3,23233,1
1375,,N2,Bridge,A,4.5,23233,0
1378,,N2,Link,-,273.0,23232,0
1381,,N2,Link,-,288.0,23231,0
1380,,N2,Bridge,A,8.3,23231,0
1383,,N2,Bridge,A,8.0,23231,0
1382,,N2,Bridge,A,4.0,23231,0
336,,N1,Intersection,-,0.0,23229,0
1386,,N2,Link,-,1000.0,23222,28
1385,,N2,Bridge,B,4.0,23214,2
1394,,N2,Link,-,1000.0,23210,26
1390,,N2,Link,-,469.0,23205,3
1389,,N2,Bridge,A,4.0,23204,0
1387,,N2,Link,-,322.0,23204,0
1388,,N2,Bridge,A,4.0,23204,0
1393,,N2,Link,-,990.0,23203,1
1392,,N2,Bridge,A,2.0,23203,0
1391,,N2,Bridge,A,4.0,23203,0
1396,,N2,Link,-,870.0,23198,29
1395,,N2,Link,-,130.0,23192,0
1401,,N2,Link,-,909.0,23187,30
1400,,N2,Link,-,90.0,23175,0
1399,,N2,Bridge,A,2.5,23175,0
1398,,N2,Bridge,A,2.5,23175,0
1397,,N2,Link,-,187.0,23175,0
1402,,N2,Link,-,251.0,23169,0
1403,,N2,Link,-,34.0,23169,0
1404,,N2,Link,-,483.0,23169,3
1405,,N2,Bridge,B,30.3,23169,26
1407,,N2,Link,-,1020.0,23156,29
1406,,N2,Link,-,10.0,23146,0
1408,,N2,Link,-,665.0,23140,20
1414,,N2,Link,-,474.0,23124,19
1409,,N2,Bridge,A,3.6,23123,0
1410,,N2,Link,-,280.0,23123,3
1411,,N2,Link,-,408.0,23121,1
1412,,N2,Link,-,322.0,23121,3
1420,,N2,Link,-,808.0,23118,28
1413,,N2,Link,-,425.0,23118,0
1416,,N2,Link,-,245.0,23111,0
1417,,N2,Bridge,A,3.0,23111,0
1418,,N2,Link,-,164.0,23111,0
1415,,N2,Bridge,A,12.7,23111,0
1419,,N2,Bridge,A,27.4,23111,0
1422,,N2,Bridge,C,69.5,23108,67
1421,,N2,Link,-,263.0,23097,0
1430,,N2,Bridge,A,3.0,23054,0
1423,,N2,Link,-,349.0,23054,2
1424,,N2,Bridge,A,3.0,23054,0
1425,,N2,Link,-,21.0,23054,0
1426,,N2,Bridge,A,12.6,23054,0
1427,,N2,Link,-,85.0,23054,0
1428,,N2,Link,-,253.0,23054,0
1429,,N2,Bridge,A,3.4,23054,0
1431,,N2,Link,-,230.0,23054,7
1432,,N2,Bridge,B,3.5,23054,28
1436,,N2,Bridge,B,14.1,23045,42
1433,,N2,Bridge,A,3.0,23033,0
1434,,N2,Link,-,40.0,23033,0
1435,,N2,Bridge,A,1.8,23033,0
1447,,N2,Link,-,670.0,23024,32
1446,,N2,Link,-,330.0,23018,3
1441,,N2,Link,-,30.0,23015,0
1445,,N2,Bridge,A,4.0,23015,0
1442,,N2,Link,-,160.0,23015,0
1437,,N2,Link,-,170.0,23015,0
