id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34471,0
1568,,N2,Intersection,-,0.0,33227,0
186,,N1,Intersection,-,0.0,32398,0
1359,,N2,Intersection,-,0.0,30245,0
184,,N1,Intersection,-,0.0,29464,0
18,,N1,Intersection,-,0.0,29256,0
336,,N1,Intersection,-,0.0,24667,0
25,,N1,Link,-,184.0,24400,2
26,,N1,Link,-,248.0,24400,4
23,,N1,Link,-,382.0,24399,4
24,,N1,Bridge,A,8.3,24398,0
27,,N1,Bridge,A,9.3,24396,0
28,,N1,Bridge,A,6.1,24396,0
19,,N1,Link,-,112.0,24396,0
20,,N1,Bridge,B,8.0,24396,0
21,,N1,Bridge,A,6.3,24396,0
22,,N1,Bridge,A,6.3,24396,0
1360,,N2,Bridge,C,19.0,23881,38
1373,,N2,Bridge,C,72.15,23863,60
1362,,N2,Link,-,20.0,23854,0
1361,,N2,Link,-,214.0,23854,0
1363,,N2,Link,-,1000.0,23854,5
1368,,N2,Link,-,467.0,23849,1
1365,,N2,Bridge,B,4.9,23849,0
1367,,N2,Bridge,B,3.5,23849,0
1364,,N2,Link,-,162.0,23849,0
1366,,N2,Link,-,132.0,23849,0
1372,,N2,Link,-,914.0,23848,1
1371,,N2,Link,-,8.0,23848,0
1370,,N2,Link,-,22.0,23848,0
1369,,N2,Bridge,A,3.4,23848,0
1384,,N2,Link,-,926.0,23830,30
1383,,N2,Bridge,A,8.0,23823,0
1382,,N2,Bridge,A,4.0,23823,0
1381,,N2,Link,-,288.0,23823,0
1380,,N2,Bridge,A,8.3,23823,0
1379,,N2,Link,-,675.0,23823,1
1378,,N2,Link,-,273.0,23822,0
1376,,N2,Link,-,449.0,23822,3
1377,,N2,Bridge,B,8.3,23822,0
1375,,N2,Bridge,A,4.5,23819,0
1374,,N2,Link,-,754.0,23819,0
1386,,N2,Link,-,1000.0,23818,28
1393,,N2,Link,-,990.0,23808,34
1385,,N2,Bridge,B,4.0,23807,0
1389,,N2,Bridge,A,4.0,23801,0
1387,,N2,Link,-,322.0,23801,0
1388,,N2,Bridge,A,4.0,23801,0
1390,,N2,Link,-,469.0,23801,1
1391,,N2,Bridge,A,4.0,23800,0
1392,,N2,Bridge,A,2.0,23800,0
1394,,N2,Link,-,1000.0,23791,29
1396,,N2,Link,-,870.0,23782,38
1395,,N2,Link,-,130.0,23771,0
1401,,N2,Link,-,909.0,23766,26
1407,,N2,Link,-,1020.0,23755,31
1397,,N2,Link,-,187.0,23755,0
1398,,N2,Bridge,A,2.5,23755,0
1399,,N2,Bridge,A,2.5,23755,0
1400,,N2,Link,-,90.0,23755,0
1402,,N2,Link,-,251.0,23753,2
1403,,N2,Link,-,34.0,23753,0
1404,,N2,Link,-,483.0,23753,7
1406,,N2,Link,-,10.0,23746,0
1405,,N2,Bridge,B,30.3,23746,0
1420,,N2,Link,-,808.0,23738,36
1412,,N2,Link,-,322.0,23736,6
1414,,N2,Link,-,474.0,23734,7
1408,,N2,Link,-,665.0,23733,0
1409,,N2,Bridge,A,3.6,23733,0
1410,,N2,Link,-,280.0,23733,0
1411,,N2,Link,-,408.0,23733,0
1413,,N2,Link,-,425.0,23733,0
1415,,N2,Bridge,A,12.7,23728,0
1416,,N2,Link,-,245.0,23728,0
1417,,N2,Bridge,A,3.0,23728,0
1419,,N2,Bridge,A,27.4,23728,0
1418,,N2,Link,-,164.0,23728,0
1422,,N2,Bridge,C,69.5,23725,62
1421,,N2,Link,-,263.0,23712,0
1438,,N2,Link,-,183.0,23678,0
1440,,N2,Link,-,159.0,23678,5
1439,,N2,Bridge,A,2.0,23678,0
1437,,N2,Link,-,170.0,23678,1
1431,,N2,Link,-,230.0,23677,0
1436,,N2,Bridge,B,14.1,23677,0
1435,,N2,Bridge,A,1.8,23677,0
1434,,N2,Link,-,40.0,23677,0
1432,,N2,Bridge,B,3.5,23677,0
1433,,N2,Bridge,A,3.0,23677,0
1430,,N2,Bridge,A,3.0,23677,0
1429,,N2,Bridge,A,3.4,23677,0
1428,,N2,Link,-,253.0,23677,0
1427,,N2,Link,-,85.0,23677,0
1426,,N2,Bridge,A,12.6,23677,0
1425,,N2,Link,-,21.0,23677,0
1424,,N2,Bridge,A,3.0,23677,0
1423,,N2,Link,-,349.0,23677,1
1447,,N2,Link,-,670.0,23675,2
1458,,N2,Link,-,969.0,23675,32
