scenario,replication,seed,average_driving_time,average_distance_km,time_per_km,shortest_route_km,longest_route_km,scenario_mean,scenario_std,standard_error,ci_95_lower,ci_95_upper
4,1,1608637542,589.1262299826356,73.10864560050886,8.058229298923505,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,2,1273642419,588.6343506375778,73.39958934331239,8.019586429623665,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,3,1935803228,590.4072941716717,73.48185021376214,8.034736366247573,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,4,787846414,594.4579828383157,73.80575104163646,8.054358562152707,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,5,996406378,581.9739814758763,73.51046152235591,7.916886514158084,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,6,1201263687,590.7343228515601,73.42427507602274,8.045490707806374,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,7,423734972,581.2548194079186,73.24421086470723,7.935846567882085,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,8,415968276,592.1339172012782,73.41885806445376,8.065147467718024,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,9,670094950,592.1924527392556,73.9480885364399,8.008218528156235,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
4,10,1914837113,595.1211115971614,73.59302898948867,8.08665059406867,0.9702999999999999,347.8139800000001,589.6036462903251,4.691808840190098,1.483680228111366,586.6956330432267,592.5116595374234
