id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,33789,0
1568,,N2,Intersection,-,0.0,31574,0
186,,N1,Intersection,-,0.0,30889,0
1359,,N2,Intersection,-,0.0,29298,0
18,,N1,Intersection,-,0.0,28735,0
184,,N1,Intersection,-,0.0,28020,0
26,,N1,Link,-,248.0,24030,2
25,,N1,Link,-,184.0,24030,0
24,,N1,Bridge,A,8.3,24030,0
23,,N1,Link,-,382.0,24030,2
20,,N1,Bridge,B,8.0,24029,4
28,,N1,Bridge,A,6.1,24028,0
27,,N1,Bridge,A,9.3,24028,0
22,,N1,Bridge,A,6.3,24028,0
21,,N1,Bridge,A,6.3,24028,0
19,,N1,Link,-,112.0,24026,0
336,,N1,Intersection,-,0.0,23361,0
1360,,N2,Bridge,C,19.0,23019,65
1363,,N2,Link,-,1000.0,22976,26
1361,,N2,Link,-,214.0,22973,0
1362,,N2,Link,-,20.0,22973,0
1367,,N2,Bridge,B,3.5,22959,27
1365,,N2,Bridge,B,4.9,22956,5
1366,,N2,Link,-,132.0,22954,0
1364,,N2,Link,-,162.0,22953,0
1373,,N2,Bridge,C,72.15,22953,62
1372,,N2,Link,-,914.0,22938,2
1368,,N2,Link,-,467.0,22937,0
1369,,N2,Bridge,A,3.4,22937,0
1370,,N2,Link,-,22.0,22937,0
1371,,N2,Link,-,8.0,22937,0
1374,,N2,Link,-,754.0,22907,2
1377,,N2,Bridge,B,8.3,22906,3
1376,,N2,Link,-,449.0,22905,0
1384,,N2,Link,-,926.0,22905,27
1375,,N2,Bridge,A,4.5,22905,0
1379,,N2,Link,-,675.0,22904,2
1378,,N2,Link,-,273.0,22904,0
1381,,N2,Link,-,288.0,22902,4
1380,,N2,Bridge,A,8.3,22902,0
1382,,N2,Bridge,A,4.0,22898,0
1383,,N2,Bridge,A,8.0,22898,0
1386,,N2,Link,-,1000.0,22892,26
1385,,N2,Bridge,B,4.0,22886,2
1393,,N2,Link,-,990.0,22881,35
1388,,N2,Bridge,A,4.0,22873,0
1390,,N2,Link,-,469.0,22873,2
1389,,N2,Bridge,A,4.0,22873,0
1387,,N2,Link,-,322.0,22873,0
1392,,N2,Bridge,A,2.0,22871,0
1391,,N2,Bridge,A,4.0,22871,0
1394,,N2,Link,-,1000.0,22865,28
1396,,N2,Link,-,870.0,22855,38
1395,,N2,Link,-,130.0,22846,0
1401,,N2,Link,-,909.0,22835,30
1400,,N2,Link,-,90.0,22826,0
1399,,N2,Bridge,A,2.5,22826,0
1398,,N2,Bridge,A,2.5,22826,0
1397,,N2,Link,-,187.0,22826,0
1405,,N2,Bridge,B,30.3,22821,60
1402,,N2,Link,-,251.0,22814,0
1403,,N2,Link,-,34.0,22814,0
1404,,N2,Link,-,483.0,22814,4
1407,,N2,Link,-,1020.0,22783,30
1406,,N2,Link,-,10.0,22772,0
1408,,N2,Link,-,665.0,22765,6
1412,,N2,Link,-,322.0,22762,6
1420,,N2,Link,-,808.0,22762,33
1409,,N2,Bridge,A,3.6,22760,0
1410,,N2,Link,-,280.0,22760,0
1411,,N2,Link,-,408.0,22760,0
1414,,N2,Link,-,474.0,22759,3
1413,,N2,Link,-,425.0,22758,0
1415,,N2,Bridge,A,12.7,22757,0
1416,,N2,Link,-,245.0,22757,0
1417,,N2,Bridge,A,3.0,22757,0
1418,,N2,Link,-,164.0,22757,2
1419,,N2,Bridge,A,27.4,22755,0
1422,,N2,Bridge,C,69.5,22752,65
1421,,N2,Link,-,263.0,22736,0
1436,,N2,Bridge,B,14.1,22709,26
1431,,N2,Link,-,230.0,22703,4
1429,,N2,Bridge,A,3.4,22703,0
1430,,N2,Bridge,A,3.0,22703,0
1426,,N2,Bridge,A,12.6,22703,0
1428,,N2,Link,-,253.0,22703,0
1427,,N2,Link,-,85.0,22703,0
1425,,N2,Link,-,21.0,22703,0
1424,,N2,Bridge,A,3.0,22703,0
1423,,N2,Link,-,349.0,22703,0
1432,,N2,Bridge,B,3.5,22701,2
1433,,N2,Bridge,A,3.0,22701,0
1434,,N2,Link,-,40.0,22701,0
1435,,N2,Bridge,A,1.8,22701,0
1449,,N2,Bridge,B,105.15,22696,52
1440,,N2,Link,-,159.0,22692,1
1441,,N2,Link,-,30.0,22692,0
1442,,N2,Link,-,160.0,22692,0
1444,,N2,Link,-,452.0,22692,5
1443,,N2,Bridge,A,2.5,22692,0
