id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34704,0
1568,,N2,Intersection,-,0.0,33966,0
186,,N1,Intersection,-,0.0,33212,0
1359,,N2,Intersection,-,0.0,30493,0
184,,N1,Intersection,-,0.0,30139,0
18,,N1,Intersection,-,0.0,29379,0
336,,N1,Intersection,-,0.0,25321,0
26,,N1,Link,-,248.0,24595,1
25,,N1,Link,-,184.0,24595,1
21,,N1,Bridge,A,6.3,24594,0
22,,N1,Bridge,A,6.3,24594,0
28,,N1,Bridge,A,6.1,24594,0
27,,N1,Bridge,A,9.3,24594,0
24,,N1,Bridge,A,8.3,24594,0
19,,N1,Link,-,112.0,24594,0
20,,N1,Bridge,B,8.0,24594,0
23,,N1,Link,-,382.0,24594,0
1363,,N2,Link,-,1000.0,24140,34
1361,,N2,Link,-,214.0,24133,0
1362,,N2,Link,-,20.0,24133,0
1360,,N2,Bridge,C,19.0,24133,0
1372,,N2,Link,-,914.0,24121,32
1365,,N2,Bridge,B,4.9,24113,0
1368,,N2,Link,-,467.0,24113,1
1367,,N2,Bridge,B,3.5,24113,0
1366,,N2,Link,-,132.0,24113,0
1364,,N2,Link,-,162.0,24113,0
1371,,N2,Link,-,8.0,24112,0
1370,,N2,Link,-,22.0,24112,0
1369,,N2,Bridge,A,3.4,24112,0
1384,,N2,Link,-,926.0,24105,27
1377,,N2,Bridge,B,8.3,24100,0
1378,,N2,Link,-,273.0,24100,1
1376,,N2,Link,-,449.0,24100,2
1379,,N2,Link,-,675.0,24099,0
1380,,N2,Bridge,A,8.3,24099,0
1381,,N2,Link,-,288.0,24099,4
1375,,N2,Bridge,A,4.5,24098,0
1373,,N2,Bridge,C,72.15,24098,0
1374,,N2,Link,-,754.0,24098,0
1382,,N2,Bridge,A,4.0,24095,0
1383,,N2,Bridge,A,8.0,24095,0
1386,,N2,Link,-,1000.0,24093,25
1385,,N2,Bridge,B,4.0,24088,0
1394,,N2,Link,-,1000.0,24076,31
1390,,N2,Link,-,469.0,24074,5
1387,,N2,Link,-,322.0,24073,0
1388,,N2,Bridge,A,4.0,24073,0
1389,,N2,Bridge,A,4.0,24073,0
1393,,N2,Link,-,990.0,24071,5
1391,,N2,Bridge,A,4.0,24070,0
1392,,N2,Bridge,A,2.0,24070,0
1396,,N2,Link,-,870.0,24066,38
1395,,N2,Link,-,130.0,24054,0
1401,,N2,Link,-,909.0,24050,46
1398,,N2,Bridge,A,2.5,24040,0
1399,,N2,Bridge,A,2.5,24040,0
1400,,N2,Link,-,90.0,24040,0
1397,,N2,Link,-,187.0,24040,0
1407,,N2,Link,-,1020.0,24023,37
1403,,N2,Link,-,34.0,24014,0
1404,,N2,Link,-,483.0,24014,4
1402,,N2,Link,-,251.0,24014,0
1405,,N2,Bridge,B,30.3,24010,0
1406,,N2,Link,-,10.0,24010,0
1412,,N2,Link,-,322.0,24002,31
1408,,N2,Link,-,665.0,23999,5
1410,,N2,Link,-,280.0,23995,3
1409,,N2,Bridge,A,3.6,23994,0
1411,,N2,Link,-,408.0,23993,0
1420,,N2,Link,-,808.0,23985,31
1414,,N2,Link,-,474.0,23982,2
1415,,N2,Bridge,A,12.7,23982,0
1416,,N2,Link,-,245.0,23982,0
1417,,N2,Bridge,A,3.0,23982,0
1418,,N2,Link,-,164.0,23982,2
1419,,N2,Bridge,A,27.4,23980,0
1413,,N2,Link,-,425.0,23980,0
1454,,N2,Link,-,608.0,23963,33
1424,,N2,Bridge,A,3.0,23960,0
1427,,N2,Link,-,85.0,23960,3
1426,,N2,Bridge,A,12.6,23960,0
1425,,N2,Link,-,21.0,23960,0
1423,,N2,Link,-,349.0,23960,1
1422,,N2,Bridge,C,69.5,23959,0
1421,,N2,Link,-,263.0,23959,0
1432,,N2,Bridge,B,3.5,23958,0
1436,,N2,Bridge,B,14.1,23958,0
1431,,N2,Link,-,230.0,23958,1
1438,,N2,Link,-,183.0,23958,2
1437,,N2,Link,-,170.0,23958,0
1433,,N2,Bridge,A,3.0,23958,0
1434,,N2,Link,-,40.0,23958,0
1435,,N2,Bridge,A,1.8,23958,0
1428,,N2,Link,-,253.0,23957,0
1429,,N2,Bridge,A,3.4,23957,0
1430,,N2,Bridge,A,3.0,23957,0
1444,,N2,Link,-,452.0,23956,3
1443,,N2,Bridge,A,2.5,23956,0
1441,,N2,Link,-,30.0,23956,0
