id,name,road,type,condition,length_m,throughput,current_vehicles
29,,N1,Intersection,-,0.0,34870,0
1568,,N2,Intersection,-,0.0,34039,0
186,,N1,Intersection,-,0.0,33204,0
1359,,N2,Intersection,-,0.0,30537,0
184,,N1,Intersection,-,0.0,30184,0
18,,N1,Intersection,-,0.0,29274,0
336,,N1,Intersection,-,0.0,25419,0
26,,N1,Link,-,248.0,24578,1
25,,N1,Link,-,184.0,24578,1
28,,N1,Bridge,A,6.1,24577,0
23,,N1,Link,-,382.0,24577,0
22,,N1,Bridge,A,6.3,24577,0
21,,N1,Bridge,A,6.3,24577,0
20,,N1,Bridge,B,8.0,24577,0
19,,N1,Link,-,112.0,24577,0
24,,N1,Bridge,A,8.3,24577,0
27,,N1,Bridge,A,9.3,24577,0
1363,,N2,Link,-,1000.0,24065,27
1384,,N2,Link,-,926.0,24055,33
1360,,N2,Bridge,C,19.0,24054,0
1362,,N2,Link,-,20.0,24054,0
1361,,N2,Link,-,214.0,24054,0
1368,,N2,Link,-,467.0,24050,2
1372,,N2,Link,-,914.0,24049,5
1369,,N2,Bridge,A,3.4,24049,0
1367,,N2,Bridge,B,3.5,24049,0
1370,,N2,Link,-,22.0,24049,0
1365,,N2,Bridge,B,4.9,24049,0
1366,,N2,Link,-,132.0,24049,0
1364,,N2,Link,-,162.0,24049,0
1371,,N2,Link,-,8.0,24049,0
1379,,N2,Link,-,675.0,24046,5
1383,,N2,Bridge,A,8.0,24045,0
1382,,N2,Bridge,A,4.0,24045,0
1381,,N2,Link,-,288.0,24045,0
1380,,N2,Bridge,A,8.3,24045,0
1374,,N2,Link,-,754.0,24044,2
1373,,N2,Bridge,C,72.15,24044,0
1378,,N2,Link,-,273.0,24042,0
1377,,N2,Bridge,B,8.3,24042,0
1376,,N2,Link,-,449.0,24042,0
1375,,N2,Bridge,A,4.5,24042,0
1393,,N2,Link,-,990.0,24037,27
1388,,N2,Bridge,A,4.0,24033,0
1389,,N2,Bridge,A,4.0,24033,0
1387,,N2,Link,-,322.0,24033,3
1390,,N2,Link,-,469.0,24033,2
1385,,N2,Bridge,B,4.0,24032,0
1386,,N2,Link,-,1000.0,24032,2
1391,,N2,Bridge,A,4.0,24031,0
1392,,N2,Bridge,A,2.0,24031,0
1394,,N2,Link,-,1000.0,24025,32
1396,,N2,Link,-,870.0,24008,25
1395,,N2,Link,-,130.0,24002,0
1401,,N2,Link,-,909.0,24001,33
1397,,N2,Link,-,187.0,23989,0
1398,,N2,Bridge,A,2.5,23989,0
1399,,N2,Bridge,A,2.5,23989,0
1400,,N2,Link,-,90.0,23989,0
1407,,N2,Link,-,1020.0,23987,25
1404,,N2,Link,-,483.0,23981,5
1403,,N2,Link,-,34.0,23981,0
1402,,N2,Link,-,251.0,23981,1
1405,,N2,Bridge,B,30.3,23976,0
1406,,N2,Link,-,10.0,23976,0
1420,,N2,Link,-,808.0,23976,31
1408,,N2,Link,-,665.0,23975,4
1412,,N2,Link,-,322.0,23974,6
1409,,N2,Bridge,A,3.6,23973,0
1410,,N2,Link,-,280.0,23973,0
1411,,N2,Link,-,408.0,23973,0
1413,,N2,Link,-,425.0,23969,0
1414,,N2,Link,-,474.0,23969,1
1418,,N2,Link,-,164.0,23968,3
1415,,N2,Bridge,A,12.7,23968,0
1417,,N2,Bridge,A,3.0,23968,0
1416,,N2,Link,-,245.0,23968,0
1419,,N2,Bridge,A,27.4,23965,0
1421,,N2,Link,-,263.0,23956,0
1422,,N2,Bridge,C,69.5,23956,0
1423,,N2,Link,-,349.0,23956,0
1424,,N2,Bridge,A,3.0,23956,0
1425,,N2,Link,-,21.0,23956,0
1426,,N2,Bridge,A,12.6,23956,0
1427,,N2,Link,-,85.0,23956,5
1458,,N2,Link,-,969.0,23953,38
1444,,N2,Link,-,452.0,23952,7
1429,,N2,Bridge,A,3.4,23951,0
1431,,N2,Link,-,230.0,23951,0
1428,,N2,Link,-,253.0,23951,0
1433,,N2,Bridge,A,3.0,23951,0
1434,,N2,Link,-,40.0,23951,0
1435,,N2,Bridge,A,1.8,23951,0
1436,,N2,Bridge,B,14.1,23951,0
1437,,N2,Link,-,170.0,23951,0
1438,,N2,Link,-,183.0,23951,3
1430,,N2,Bridge,A,3.0,23951,0
1432,,N2,Bridge,B,3.5,23951,0
1447,,N2,Link,-,670.0,23950,4
1445,,N2,Bridge,A,4.0,23949,0
