bridge_id,mean_total_delay,std,ci95
16,200665.3422515308,847.2092702001383,525.1057459337248
62,185055.0369967264,1105.9411232015718,685.4694098429237
64,180524.99206267245,1292.6019823378665,801.1630089583339
41,92921.01351584833,558.67093257297,346.26783145434376
72,84460.03889285882,718.6234367620648,445.40742066863584
73,83592.09600551685,948.8607681412117,588.1099971018197
666,77024.60065911329,1383.02568635344,857.2082013533266
31,52093.66586198924,709.8173564156413,439.94935552261984
45,51334.33227095798,383.85418447635925,237.91528841702157
46,50566.45131113166,440.9131032754885,273.28077268646376
