bridge_id,mean_total_delay,std,ci95
798,177207.5467674103,1371.4038083528458,850.0048867399121
41,96460.23859300907,644.6816910462487,399.5778518649646
643,87601.28165857939,554.312518266015,343.56645827980196
839,83389.26525265242,1072.2166889068349,664.5667889091993
1018,76560.46970470532,586.4633627782906,363.4937581617184
1041,75268.3658351759,351.24933793988845,217.7065951651836
48,52255.30056540942,1086.2227664900443,673.247845733801
166,51718.40879126694,1156.3807629660976,716.7322224617266
138,51468.94052485055,1348.78364601416,835.9847648694425
205,50929.507026654916,958.8363202256801,594.2929083407136
