bridge_id,mean_total_delay,std,ci95
798,189400.42218505882,1387.6731326117667,860.0887183873162
643,93150.10298732067,850.9733780701139,527.4387641623517
1018,87625.87630872401,870.8885585456196,539.7823209042707
950,49343.531321201495,662.7442189942561,410.77312267373014
1000,49053.332416579535,519.3224209531212,321.87937128010435
1090,47885.97263527656,463.1459512641493,287.06083463569024
1111,47757.37424474816,373.1906530512267,231.30596316499833
1130,47201.82812747584,1104.5785442067188,684.6248746322585
1122,18898.792029839737,166.94054963251827,103.47082465311203
1173,18807.351350611356,124.76800607881579,77.33201135205117
