bridge_id,mean_total_delay,std,ci95
16,200449.7604562363,1135.7178483572584,703.9252153024728
62,187580.84591137193,3365.829052824868,2086.16246025198
64,184696.37942779603,1478.0297216527704,916.0923124900988
666,135568.60972380853,1673.767894998971,1037.4120892418107
798,124627.45263344729,1013.4501187004914,628.142891332065
41,94161.57707328453,750.8976569064317,465.4111895595659
573,72162.95817953415,648.6728664960096,402.0516080376325
606,70208.06857763408,802.9760897762634,497.68973666837195
617,68815.51811082507,570.9238249899777,353.8622528550428
643,67661.37312019274,417.9296007370659,259.0354502270471
