bridge_id,mean_total_delay,std,ci95
16,199571.43399773803,1293.6781074085252,801.82999818735
64,195813.10467749246,1746.7875985825506,1082.6701704111267
666,168915.24999815258,1744.7862597398473,1081.4297277450362
798,160103.56175856225,2397.5480475651993,1486.015675479166
573,85055.64393868385,413.81059270513117,256.48246259908456
606,84355.26278885499,444.5538676333752,275.5373418142607
617,82891.58175954992,1236.2387843002878,766.228736884397
643,82676.24189046046,364.40483744323234,225.86045823398857
769,78767.85660993207,675.0877745228461,418.42373765317126
829,75232.91782485148,626.767551141367,388.4745529181862
